Area,Pop_Change,Births,Deaths,Natural_Increase,Total_InMig,Total_OutMig,Total_NetMig,CB_InMig,CB_OutMig,CB_NetMig,Int_InMig,Int_OutMig,Int_NetMig,Year,Level,Birth_Death_Ratio,Migration_Share,CB_Share,Growth_Class
342 Itä-Pakila,-35.0,32.0,26.0,6.0,492.0,514.0,-22.0,105.0,103.0,2.0,387.0,411.0,-24.0,2003,sub_area,1.2307692307218936,0.7857142856862245,0.09090909090495868,Slight Decline
353 Tuomarinkartano,-6.0,1.0,1.0,0.0,11.0,17.0,-6.0,1.0,7.0,-6.0,10.0,10.0,0.0,2003,sub_area,0.9999999989999999,0.9999999998333333,-0.9999999998333333,Slight Decline
5 Koillinen suurpiiri,864.0,1121.0,548.0,573.0,16151.0,15810.0,341.0,3793.0,4312.0,-519.0,12358.0,11498.0,860.0,2003,major_district,2.0456204379524716,0.37308533916808195,-1.5219941348928974,Strong Growth
501 Latokartano,578.0,226.0,115.0,111.0,3392.0,3109.0,283.0,880.0,867.0,13.0,2512.0,2242.0,270.0,2003,sub_area,1.9652173912872588,0.7182741116733039,0.045936395759555,Strong Growth
361 Viikinranta,-6.0,5.0,1.0,4.0,37.0,40.0,-3.0,9.0,15.0,-6.0,28.0,25.0,3.0,2003,sub_area,4.999999995,0.4285714285102041,-1.9999999993333333,Slight Decline
362 Latokartano,867.0,64.0,6.0,58.0,1235.0,653.0,582.0,258.0,166.0,92.0,977.0,487.0,490.0,2003,sub_area,10.666666664888888,0.9093749999985791,0.15807560137429885,Strong Growth
363 Viikin tiedepuisto,-5.0,4.0,,4.0,339.0,347.0,-8.0,166.0,114.0,52.0,173.0,233.0,-60.0,2003,sub_area,,0.6666666666111111,6.4999999991875,Slight Decline
364 Viikinmäki,87.0,29.0,,29.0,173.0,114.0,59.0,24.0,43.0,-19.0,149.0,71.0,78.0,2003,sub_area,,0.6704545454469266,-0.3220338982996266,Slight Growth
383 Pihlajamäki,-324.0,95.0,87.0,8.0,1220.0,1523.0,-303.0,332.0,428.0,-96.0,888.0,1095.0,-207.0,2003,sub_area,1.0919540229759546,0.974276527328057,-0.31683168316727117,Moderate Decline
386 Pihlajisto,-41.0,29.0,21.0,8.0,388.0,432.0,-44.0,91.0,101.0,-10.0,297.0,331.0,-34.0,2003,sub_area,1.3809523808866213,0.846153846137574,-0.227272727267562,Slight Decline
502 Pukinmäki,-201.0,85.0,77.0,8.0,1538.0,1719.0,-181.0,431.0,488.0,-57.0,1107.0,1231.0,-124.0,2003,sub_area,1.1038961038817676,0.9576719576668907,-0.31491712707008335,Moderate Decline
370 Pukinmäki,-201.0,85.0,77.0,8.0,1538.0,1719.0,-181.0,431.0,488.0,-57.0,1107.0,1231.0,-124.0,2003,sub_area,1.1038961038817676,0.9576719576668907,-0.31491712707008335,Moderate Decline
503 Malmi,838.0,367.0,163.0,204.0,5291.0,4574.0,717.0,1005.0,1091.0,-86.0,4286.0,3483.0,803.0,2003,sub_area,2.2515337423174753,0.7785016286636498,-0.11994421199425391,Strong Growth
381 Ylä-Malmi,236.0,117.0,58.0,59.0,1696.0,1483.0,213.0,367.0,329.0,38.0,1329.0,1154.0,175.0,2003,sub_area,2.017241379275565,0.7830882352912387,0.17840375586770704,Moderate Growth
382 Ala-Malmi,-46.0,56.0,32.0,24.0,892.0,936.0,-44.0,210.0,237.0,-27.0,682.0,699.0,-17.0,2003,sub_area,1.7499999999453126,0.6470588235198962,-0.6136363636224174,Slight Decline
385 Malmin lentokenttä,778.0,31.0,9.0,22.0,965.0,209.0,756.0,60.0,20.0,40.0,905.0,189.0,716.0,2003,sub_area,3.4444444440617286,0.9717223650373115,0.05291005290998292,Strong Growth
391 Tapaninvainio,-36.0,89.0,42.0,47.0,855.0,926.0,-71.0,175.0,242.0,-67.0,680.0,684.0,-4.0,2003,sub_area,2.1190476189971656,0.6016949152491382,-0.9436619718176948,Slight Decline
392 Tapanila,-94.0,74.0,22.0,52.0,875.0,1012.0,-137.0,193.0,263.0,-70.0,682.0,749.0,-67.0,2003,sub_area,3.363636363483471,0.7248677248638896,-0.5109489051057595,Slight Decline
504 Suutarila,-92.0,135.0,49.0,86.0,1752.0,1861.0,-109.0,413.0,631.0,-218.0,1339.0,1230.0,109.0,2003,sub_area,2.7551020407601,0.5589743589714925,-1.9999999999816513,Slight Decline
401 Siltamäki,-132.0,71.0,39.0,32.0,1103.0,1208.0,-105.0,307.0,432.0,-125.0,796.0,776.0,20.0,2003,sub_area,1.820512820466141,0.7664233576586393,-1.1904761904648526,Moderate Decline
403 Töyrynummi,40.0,64.0,10.0,54.0,649.0,653.0,-4.0,106.0,199.0,-93.0,543.0,454.0,89.0,2003,sub_area,6.39999999936,0.06896551724019026,-23.2499999941875,Slight Growth
505 Puistola,-90.0,233.0,89.0,144.0,3179.0,3379.0,-200.0,888.0,1009.0,-121.0,2291.0,2370.0,-79.0,2003,sub_area,2.617977528060472,0.5813953488355192,-0.6049999999969751,Slight Decline
402 Tapulikaupunki,-191.0,116.0,55.0,61.0,1824.0,2058.0,-234.0,586.0,629.0,-43.0,1238.0,1429.0,-191.0,2003,sub_area,2.1090909090525622,0.793220338980362,-0.18376068375989846,Moderate Decline
411 Puistola,97.0,74.0,26.0,48.0,908.0,853.0,55.0,179.0,237.0,-58.0,729.0,616.0,113.0,2003,sub_area,2.8461538460443787,0.5339805825190875,-1.0545454545262811,Slight Growth
412 Heikinlaakso,4.0,41.0,8.0,33.0,431.0,451.0,-20.0,119.0,134.0,-15.0,312.0,317.0,-5.0,2003,sub_area,5.124999999359375,0.3773584905589178,-0.7499999999625,Slight Growth
